,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,ThePainTrader,I shorted peloton from 165 to 47. I put a 50🎯 on peloton and  I provided research  why it would sell off and the date of Nov 2021 by which it would reach 50.,"Los Angeles, CA",108,401,2400,0,"@FinncamFinn I assume you was asking about  Tesla 

The other plays have already happen 

👇 
$tsla 500🎯 

But price Could find good support at 620 

Time frame 👇

June/July 2022",[]
1,q00per,🥈👁open my 👀 to the literal agenda against god. the “simulation” is 4️⃣ur soul. im not taking chances. god is good. symbolism will 🅱️their downfall.non FA,"Nashville, TN, Chicago, IL",3788,1321,5413,1,Love that i cant even complement @elonmusk on his taste in music! I love trannies. Thats what im calling transitions from now on. Taking back words  and the ALPHA…BET. Okay. So now i know why @ryancohen tweets werent notification worthy. He has good tasste too $gme $tsla $mtch https://t.co/HQy462cfaT,[]
2,DouglasDowellJD,Commercial Real Estate Developer.  #uli #naiop   KC Chiefs.  Colorado birthright.  All things macroeconomics.,,4395,1706,12217,2,"Just to add to this graph in Wh/mile efficiency $FUV $TSLA $GM $F $NIO $RIVN 

e-bike ~25Wh/mi

Model 3 ~250Wh/mi

GM Hummer ~ 610Wh/mi

ICE car with 25mpg is ~1,350Wh/mi or 1.35kWh/mile https://t.co/RAZkRpR79i",[]
3,FledglingTiger,"Waiting for the right opportunities with poise, patience and silence. Not financial advice.",Infinity and beyond. ,30,63,522,0,"@PeterLBrandt @elonmusk How much tax payers' money in term of Subsidy, rebates, and incentives $TSLA got vs. $TWTR?",[]
4,Iareyoungman,Your friendly neighborhood villain. #flyeaglesfly,,619,115,5554,0,@MarketRebels $TSLA BTC,[]
5,newcastlevania1,"Korean British in Hong Kong.
홍콩사는 검은 머리 외국인

Football/ Tesla  is life",Hong Kong,229,9,729,12,@SawyerMerritt This seems like a dumb move by $TSLA.  It’s not the same as $AAPL not including chargers with iPhone purchases since most people have chargers from previous iPhones. Not true of first time EV purchasers.,[]
6,ThaClocksTickin,"EyE am a poet, Entertainer, Entrepreneur, aspiring politician, Critical Thinker with one goal...leave my mark on humanity.",Texas,719,492,9664,12,@SawyerMerritt This seems like a dumb move by $TSLA.  It’s not the same as $AAPL not including chargers with iPhone purchases since most people have chargers from previous iPhones. Not true of first time EV purchasers.,[]
7,RobDyce1,,,14,0,26,189,@elonmusk talking at TED2022 about the relentless short and distort method wallstreet and hedge funds  use to to ruin companies…. Sound familiar #amc #gme #hymc #bbby #tsla https://t.co/pa8amuUNgP,[]
8,gamestopping,Ex-GS Head of Janitorial desk. @Meta,"Byron Bay, New South Wales",97,38,1335,0,"@elonmusk: makes fun of apple chargers and accessory prices

Also @elonmusk: here’s your 50k electric car! Charger sold separately

$TSLA https://t.co/ZPnSHvci57",[]
9,Ericleeasher27,TX🌤,"Kingsville, TX",144,151,189,12,"The ELITES don’t want Elon Musk to own $TWTR. 

@DavidSacks explains 😤 

#TwitterTakeover #ElonMuskBuyTwitter  $TSLA https://t.co/GdpBqPlGSd","['TwitterTakeover', 'ElonMuskBuyTwitter']"
